date,season,month,holiday,weekday,working,weather,temp,hum,windspeed,casual,registered,count
2011-01-01,1,1,0,6,0,2,57.3995246,80.58330000000001,10.749882,331,654,985
2011-01-02,1,1,0,0,0,2,58.8246764,69.6087,16.652113,131,670,801
2011-01-03,1,1,0,1,1,1,46.491663200000005,43.7273,16.636703,120,1229,1349
2011-01-04,1,1,0,2,1,1,46.760000000000005,59.0435,10.739832,108,1454,1562
2011-01-05,1,1,0,3,1,1,48.7494266,43.695699999999995,12.522300000000001,82,1518,1600
2011-01-06,1,1,0,4,1,1,47.0808824,51.8261,6.0008684,88,1518,1606
2011-01-07,1,1,0,5,1,2,46.5033236,49.8696,11.304642,148,1362,1510
2011-01-08,1,1,0,6,0,2,44.177,53.5833,17.875868,68,891,959
2011-01-09,1,1,0,0,0,1,42.2089754,43.416700000000006,24.25065,54,768,822
2011-01-10,1,1,0,1,1,1,43.1314754,48.2917,14.958889,41,1280,1321
2011-01-11,1,1,0,2,1,2,44.478915799999996,68.6364,8.182844000000001,43,1220,1263
2011-01-12,1,1,0,3,1,1,44.747252599999996,59.954499999999996,20.410009,25,1137,1162
2011-01-13,1,1,0,4,1,1,44.177,47.0417,20.166999999999998,38,1368,1406
2011-01-14,1,1,0,5,1,1,43.872206,53.7826,8.478716,54,1367,1421
2011-01-15,1,1,0,6,0,2,49.2199754,49.875,10.583521,222,1026,1248
2011-01-16,1,1,0,0,0,1,49.0970246,48.375,12.625010999999999,251,953,1204
2011-01-17,1,1,1,1,0,2,44.9764754,53.75,12.999139,117,883,1000
2011-01-18,1,1,0,2,1,2,47.9900246,86.16669999999999,9.833924999999999,9,674,683
2011-01-19,1,1,0,3,1,2,53.5624412,74.1739,13.957239,78,1572,1650
2011-01-20,1,1,0,4,1,2,51.311024599999996,53.833299999999994,13.125568,83,1844,1927
2011-01-21,1,1,0,5,1,1,45.0995,45.7083,23.667214,75,1468,1543
2011-01-22,1,1,0,6,0,1,36.36382352,40,11.52199,93,888,981
2011-01-23,1,1,0,0,0,1,39.12330146,43.6522,16.5222,150,836,986
2011-01-24,1,1,0,1,1,1,39.18747794,49.173899999999996,10.60811,86,1330,1416
2011-01-25,1,1,0,2,1,2,48.4926764,61.695699999999995,8.696332,186,1799,1985
2011-01-26,1,1,0,3,1,3,48.051500000000004,86.25,19.68795,34,472,506
